Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
396,21100898676,IACR Transactions on Symmetric Cryptology,journal,2519173X,"0,715",Q1,10,54,85,2062,244,83,2.87,38.19,Germany,Western Europe,Ruhr-Universitat Bochum,2018-2020,Software (Q1); Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Science Applications (Q2)
397,21100784665,IEEE Transactions on Cognitive and Developmental Systems,journal,"23798920, 23798939","0,714",Q1,41,129,183,3440,783,180,4.03,26.67,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2016-2020,Software (Q1); Artificial Intelligence (Q2)
398,21100799933,SLAS Technology,journal,"24726311, 24726303","0,714",Q2,16,73,206,2612,518,183,2.4,35.78,United States,Northern America,SAGE Publications Inc.,2017-2020,Medical Laboratory Technology (Q1); Computer Science Applications (Q2)
399,21101017244,Drones,journal,2504446X,"0,713",Q1,18,78,132,4146,721,127,5.45,53.15,Switzerland,Western Europe,MDPI AG,2017-2020,Aerospace Engineering (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2)
400,24800,Neural Computing and Applications,journal,"09410643, 14333058","0,713",Q1,80,1458,1696,65605,9186,1678,5.4,45,United Kingdom,Western Europe,Springer London,1993-2020,Software (Q1); Artificial Intelligence (Q2)
401,21100455650,Development Engineering,journal,23527285,"0,712",Q2,10,11,34,449,112,33,2.65,40.82,United Kingdom,Western Europe,Elsevier Ltd.,2015-2020,"Development (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Computer Science Applications (Q2)"
402,24907,Distributed Computing,journal,"01782770, 14320452","0,707",Q1,48,30,80,1028,248,77,2.72,34.27,Germany,Western Europe,Springer Verlag,1986-2020,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2)
403,21100853805,Quantitative Biology,journal,"20954697, 20954689","0,707",Q2,15,40,96,1789,150,90,1.8,44.73,China,Asiatic Region,Higher Education Press,2013-2020,"Applied Mathematics (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computer Science Applications (Q2); Modeling and Simulation (Q2)"
404,19700174607,Journal of Computational Science,journal,18777503,"0,704",Q1,46,123,485,5550,2325,465,4.97,45.12,Netherlands,Western Europe,Elsevier,2010-2020,Computer Science (miscellaneous) (Q1); Modeling and Simulation (Q2); Theoretical Computer Science (Q2)
405,26389,Electronic Journal of Combinatorics,journal,"10778926, 10971440","0,703",Q2,52,241,707,5125,913,706,1.28,21.27,United States,Northern America,Electronic Journal of Combinatorics,1996-2020,Applied Mathematics (Q2); Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)
406,4700152490,International journal of computer assisted radiology and surgery,journal,"18616410, 18616429","0,701",Q1,49,205,597,5360,2277,583,3.83,26.15,Germany,Western Europe,Springer Verlag,2006-2020,"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Biomedical Engineering (Q2); Computer Science Applications (Q2); Health Informatics (Q2); Medicine (miscellaneous) (Q2); Radiology, Nuclear Medicine and Imaging (Q2); Surgery (Q2)"
407,6200180164,Profesional de la Informacion,journal,"16992407, 13866710","0,698",Q1,28,192,365,10374,832,365,2.15,54.03,Spain,Western Europe,El Profesional de la Informacion,2006-2020,Communication (Q1); Cultural Studies (Q1); Information Systems (Q1); Library and Information Sciences (Q1)
408,21100197952,Journal of Rail Transport Planning and Management,journal,22109706,"0,697",Q2,24,27,68,864,147,61,1.88,32,Netherlands,Western Europe,Elsevier BV,2011-2020,Computer Science Applications (Q2); Modeling and Simulation (Q2)
409,24501,Computational Geosciences,journal,14200597,"0,696",Q2,69,136,249,6036,787,246,3.15,44.38,Netherlands,Western Europe,Springer Netherlands,"1982-1983, 1997-2020",Computational Mathematics (Q2); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Computers in Earth Sciences (Q2)
410,26004,IEEE Circuits and Systems Magazine,journal,1531636X,"0,696",Q2,54,17,52,943,186,41,3.13,55.47,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,"1979-1984, 2001-2020",Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2)
411,13845,Bulletin of Mathematical Biology,journal,"00928240, 15229602","0,693",Q2,89,151,440,7134,1004,430,2.2,47.25,United States,Northern America,Springer New York,1973-2020,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Mathematics (miscellaneous) (Q2); Pharmacology (Q2); Immunology (Q3); Neuroscience (miscellaneous) (Q3)"
412,21100241218,Astronomy and Computing,journal,22131337,"0,692",Q2,31,46,133,2012,475,132,3.53,43.74,Netherlands,Western Europe,Elsevier BV,2013-2020,Astronomy and Astrophysics (Q2); Computer Science Applications (Q2); Space and Planetary Science (Q2)
413,18709,IEEE Software,journal,7407459,"0,692",Q1,112,136,343,992,1302,310,3.38,7.29,United States,Northern America,IEEE Computer Society,1984-2020,Software (Q1)
414,21100792090,Journal of Artificial Intelligence and Soft Computing Research,journal,"24496499, 20832567","0,691",Q1,16,20,59,828,295,58,4.92,41.4,Poland,Eastern Europe,De Gruyter Open Ltd.,"2013, 2016-2020",Computer Vision and Pattern Recognition (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Modeling and Simulation (Q2)
415,21100889855,Advances in Computational Design,journal,"23838477, 24660523","0,687",Q1,10,23,71,948,216,71,3.52,41.22,South Korea,Asiatic Region,Techno-Press,2016-2020,Computational Mechanics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computational Mathematics (Q2)
416,19420,International Journal of Human-Computer Interaction,journal,"15327590, 10447318","0,687",Q2,67,164,325,10244,1282,316,4.32,62.46,United States,Northern America,Taylor and Francis Ltd.,"1989-1996, 1998-2020",Computer Science Applications (Q2); Human-Computer Interaction (Q2); Human Factors and Ergonomics (Q2)
417,28704,Modelling and Simulation in Materials Science and Engineering,journal,"09650393, 1361651X","0,687",Q2,82,90,364,4471,915,361,2.5,49.68,United Kingdom,Western Europe,IOP Publishing Ltd.,1992-2020,Computer Science Applications (Q2); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Mechanics of Materials (Q2); Modeling and Simulation (Q2)
418,3200147819,Pervasive and Mobile Computing,journal,15741192,"0,687",Q1,64,68,350,2760,1558,342,4.67,40.59,Netherlands,Western Europe,Elsevier,2005-2020,Computer Networks and Communications (Q1); Computer Science (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2)
419,18027,IEEE Robotics and Automation Magazine,journal,10709932,"0,686",Q2,92,75,221,1176,759,173,3.54,15.68,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1994-2020,Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2)
420,21100873335,Journal of Control and Decision,journal,"23307714, 23307706","0,686",Q1,16,42,57,1432,197,57,3.95,34.1,United Kingdom,Western Europe,Taylor and Francis Ltd.,2014-2020,Computer Networks and Communications (Q1); Information Systems (Q1); Artificial Intelligence (Q2); Control and Optimization (Q2); Control and Systems Engineering (Q2); Human-Computer Interaction (Q2); Signal Processing (Q2)
421,21100210920,Journal of Electronic Commerce Research,journal,"19389027, 15266133","0,686",Q2,33,16,56,1216,168,56,3.2,76,United States,Northern America,California State University Press,2011-2020,"Economics, Econometrics and Finance (miscellaneous) (Q1); Computer Science Applications (Q2)"
422,13992,"Library Collections, Acquisition and Technical Services",journal,"14649055, 18731821","0,686",Q1,21,0,6,0,15,6,0,0,United Kingdom,Western Europe,Taylor and Francis Ltd.,"1980-1997, 1999-2015, 2017",Information Systems (Q1); Library and Information Sciences (Q1)
423,19700201402,Annals of GIS,journal,"19475691, 19475683","0,685",Q2,28,36,73,1731,221,73,3.49,48.08,United Kingdom,Western Europe,Taylor and Francis Ltd.,2009-2020,Earth and Planetary Sciences (miscellaneous) (Q1); Computer Science Applications (Q2)
424,15435,Journal of Consciousness Studies,journal,"20512201, 13558250","0,685",Q2,65,73,224,2800,266,212,1.33,38.36,United Kingdom,Western Europe,Imprint Academic,1996-2020,"Philosophy (Q1); Artificial Intelligence (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Psychology (miscellaneous) (Q2)"
425,23710,Journal of Medical Systems,journal,"01485598, 1573689X","0,685",Q1,79,208,790,6472,3810,769,5.23,31.12,United States,Northern America,Springer New York,1977-2020,Information Systems (Q1); Health Informatics (Q2); Health Information Management (Q2); Medicine (miscellaneous) (Q2)
426,28424,Theory and Practice of Logic Programming,journal,"14753081, 14710684","0,685",Q1,47,46,141,1495,343,134,2.45,32.5,United Kingdom,Western Europe,Cambridge University Press,2001-2020,Hardware and Architecture (Q1); Software (Q1); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2)
427,19713,Journal of High Technology Management Research,journal,10478310,"0,684",Q2,46,18,56,1219,243,56,4.76,67.72,United Kingdom,Western Europe,Elsevier BV,1990-2020,Computer Science Applications (Q2); Information Systems and Management (Q2); Management of Technology and Innovation (Q2); Marketing (Q2); Strategy and Management (Q2)
428,144815,Computational Management Science,journal,"1619697X, 16196988","0,683",Q1,34,28,89,756,136,83,1.42,27,Germany,Western Europe,Springer Verlag,2005-2020,Information Systems (Q1); Management Information Systems (Q1)
429,19700177336,International Journal of Machine Learning and Cybernetics,journal,"1868808X, 18688071","0,681",Q1,44,190,570,9560,2327,563,4.09,50.32,United States,Northern America,Springer Science + Business Media,2010-2020,Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2)
430,25022,IEEE Pervasive Computing,journal,15361268,"0,679",Q1,101,43,155,503,661,141,3.47,11.7,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2002-2020,Software (Q1); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2)
431,25033,IEEE Transactions on Computers,journal,189340,"0,679",Q1,126,195,451,5113,1817,439,3.75,26.22,United States,Northern America,IEEE Computer Society,1968-2020,Hardware and Architecture (Q1); Software (Q1); Computational Theory and Mathematics (Q2); Theoretical Computer Science (Q2)
432,21100464917,Journal of Computational Finance,journal,"14601559, 17552850","0,677",Q2,14,8,59,240,80,59,1.34,30,United States,Northern America,Incisive Media Ltd.,2011-2020,Applied Mathematics (Q2); Computer Science Applications (Q2); Finance (Q2)
433,21100915697,Journal of Special Education Technology,journal,"23813121, 01626434","0,676",Q2,33,46,74,1843,142,73,1.75,40.07,United States,Northern America,SAGE Publications Inc.,1996-2020,Computer Science Applications (Q2); Education (Q2)
434,12794,Journal of Documentation,journal,220418,"0,675",Q1,64,76,252,4687,483,252,1.74,61.67,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1945-2020,Information Systems (Q1); Library and Information Sciences (Q1)
435,25479,"International Journal of Control, Automation and Systems",journal,"20054092, 15986446","0,674",Q2,55,303,889,10560,3032,886,3.59,34.85,South Korea,Asiatic Region,"Institute of Control, Robotics and Systems",2003-2020,Computer Science Applications (Q2); Control and Systems Engineering (Q2)
436,18997,ACM Transactions on Information Systems,journal,"10468188, 15582868","0,672",Q1,83,44,126,3081,850,126,7.1,70.02,United States,Northern America,Association for Computing Machinery (ACM),1983-2020,"Business, Management and Accounting (miscellaneous) (Q1); Information Systems (Q1); Computer Science Applications (Q2)"
437,24825,Pattern Recognition Letters,journal,1678655,"0,669",Q1,157,512,929,17865,4748,902,4.93,34.89,Netherlands,Western Europe,Elsevier,1982-2020,Computer Vision and Pattern Recognition (Q1); Software (Q1); Artificial Intelligence (Q2); Signal Processing (Q2)
438,21100199837,Frontiers in Neurorobotics,journal,16625218,"0,668",Q2,34,115,253,6137,1092,246,3.71,53.37,Switzerland,Western Europe,Frontiers Media S.A.,2007-2020,Artificial Intelligence (Q2); Biomedical Engineering (Q2)
439,15773,ACM Transactions on Internet Technology,journal,"15576051, 15335399","0,667",Q1,56,45,149,2270,612,140,4.14,50.44,United States,Northern America,Association for Computing Machinery (ACM),2001-2020,Computer Networks and Communications (Q1)
440,24775,Machine Learning,journal,"15730565, 08856125","0,667",Q1,152,87,233,4124,1104,218,4.59,47.4,Netherlands,Western Europe,Springer Netherlands,1986-2020,Software (Q1); Artificial Intelligence (Q2)
441,21100316001,Journal of Biomedical Semantics,journal,20411480,"0,666",Q1,36,15,109,744,349,109,3.24,49.6,United Kingdom,Western Europe,BioMed Central Ltd.,2010-2020,Computer Networks and Communications (Q1); Information Systems (Q1); Computer Science Applications (Q2); Health Informatics (Q2)
442,21100862637,Applied Computing and Informatics,journal,22108327,"0,665",Q1,22,27,117,1047,770,93,6.82,38.78,Netherlands,Western Europe,Elsevier BV,"2011, 2014-2020",Information Systems (Q1); Computer Science Applications (Q2); Software (Q2)
443,57810,Journal of Cultural Heritage,journal,12962074,"0,663",Q2,64,203,517,9158,1619,508,3.07,45.11,France,Western Europe,Elsevier Masson,2000-2020,"Anthropology (Q1); Archeology (arts and humanities) (Q1); Conservation (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); History (Q1); Chemistry (miscellaneous) (Q2); Computer Science Applications (Q2); Materials Science (miscellaneous) (Q2); Spectroscopy (Q2)"
444,145544,Journal of Semantics,journal,"01675133, 14774593","0,661",Q2,39,11,55,751,68,55,1.18,68.27,United Kingdom,Western Europe,Oxford University Press,"1982-1986, 1990-2019",Arts and Humanities (miscellaneous) (Q1); Linguistics and Language (Q1); Artificial Intelligence (Q2)
445,22202,Operations Research Letters,journal,1676377,"0,661",Q2,77,140,352,2686,586,352,1.68,19.19,Netherlands,Western Europe,Elsevier,1981-2020,Industrial and Manufacturing Engineering (Q1); Applied Mathematics (Q2); Management Science and Operations Research (Q2); Software (Q2)
446,18186,Engineering with Computers,journal,"14355663, 01770667","0,659",Q2,52,419,232,24576,1588,232,7.01,58.65,United Kingdom,Western Europe,Springer London,1985-2020,Engineering (miscellaneous) (Q1); Computer Science Applications (Q2); Modeling and Simulation (Q2); Software (Q2)
447,5200152703,International Journal of Automation and Computing,journal,14768186,"0,655",Q2,36,63,191,3092,665,188,3.17,49.08,China,Asiatic Region,Chinese Academy of Sciences,"2005, 2007-2020",Applied Mathematics (Q2); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Modeling and Simulation (Q2)
448,19500157063,International Journal of Social Robotics,journal,"18754805, 18754791","0,655",Q1,53,167,170,9975,801,155,4.72,59.73,Germany,Western Europe,Springer Verlag,2009-2020,Computer Science (miscellaneous) (Q1)
449,13646,VLDB Journal,journal,"10668888, 0949877X","0,653",Q1,90,64,117,4824,544,113,4.46,75.38,United States,Northern America,Springer New York,1992-2020,Hardware and Architecture (Q1); Information Systems (Q1)
450,17300154971,International Journal of Critical Infrastructure Protection,journal,18745482,"0,650",Q2,37,25,110,1097,392,94,3.62,43.88,Netherlands,Western Europe,Elsevier,2008-2020,"Computer Science Applications (Q2); Information Systems and Management (Q2); Modeling and Simulation (Q2); Safety, Risk, Reliability and Quality (Q2)"
451,15463,IEEE Micro,journal,2721732,"0,649",Q1,94,77,220,729,1105,185,5.66,9.47,United States,Northern America,IEEE Computer Society,1981-2020,Electrical and Electronic Engineering (Q1); Hardware and Architecture (Q1); Software (Q2)
452,21100901582,Online Social Networks and Media,journal,24686964,"0,648",Q1,13,16,51,887,229,47,3.79,55.44,Netherlands,Western Europe,Elsevier BV,2017-2020,Communication (Q1); Computer Networks and Communications (Q1); Information Systems (Q2)
453,23087,Algorithmica,journal,"14320541, 01784617","0,647",Q1,78,133,486,3945,1032,470,2.08,29.66,United States,Northern America,Springer New York,1986-2020,Computer Science (miscellaneous) (Q1); Applied Mathematics (Q2); Computer Science Applications (Q2)
454,25887,Discrete and Computational Geometry,journal,"14320444, 01795376","0,645",Q2,69,135,256,3383,442,253,1.7,25.06,United States,Northern America,Springer New York,1986-2020,Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)
455,25612,International Journal of Computerized Dentistry,journal,14634201,"0,645",Q2,30,40,101,445,168,89,1.74,11.13,Germany,Western Europe,Quintessenz Verlags GmbH,1998-2020,Computer Science Applications (Q2); Dentistry (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)
456,19714,Journal of Organizational Computing and Electronic Commerce,journal,"15327744, 10919392","0,643",Q2,41,22,56,1580,176,54,3.58,71.82,United States,Northern America,Taylor and Francis Ltd.,1996-2020,Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Information Systems (Q2)
457,19309,Journal of Systems and Software,journal,1641212,"0,642",Q1,109,183,619,11845,3058,590,4.94,64.73,United States,Northern America,Elsevier Inc.,"1979, 1981-2021",Hardware and Architecture (Q1); Information Systems (Q2); Software (Q2)
458,12125,Behaviour and Information Technology,journal,"13623001, 0144929X","0,641",Q2,78,216,282,16895,957,277,3.29,78.22,United Kingdom,Western Europe,Taylor and Francis Ltd.,1982-2020,Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2); Human-Computer Interaction (Q2)
459,21100886426,Brain-Computer Interfaces,journal,"23262621, 2326263X","0,640",Q2,16,10,47,407,161,45,2.11,40.7,United Kingdom,Western Europe,Taylor and Francis Ltd.,2014-2020,Biomedical Engineering (Q2); Electrical and Electronic Engineering (Q2); Human-Computer Interaction (Q2); Behavioral Neuroscience (Q3)
460,21100210905,i-Perception,journal,20416695,"0,640",Q2,26,75,248,3378,385,246,1.19,45.04,United Kingdom,Western Europe,SAGE Publications Ltd,2010-2020,Artificial Intelligence (Q2); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)
461,25621,Journal of Parallel and Distributed Computing,journal,"07437315, 10960848","0,638",Q1,87,169,592,7166,2473,568,4.72,42.4,United States,Northern America,Academic Press Inc.,1984-2021,Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Artificial Intelligence (Q2); Software (Q2); Theoretical Computer Science (Q2)
462,12367,Photogrammetric Record,journal,"14779730, 0031868X","0,638",Q2,51,42,155,552,211,81,1.56,13.14,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1953-2020,Engineering (miscellaneous) (Q1); Computer Science Applications (Q2); Computers in Earth Sciences (Q2); Earth and Planetary Sciences (miscellaneous) (Q2)
463,144936,Information Systems and e-Business Management,journal,16179846,"0,636",Q2,38,56,82,2280,332,78,4.27,40.71,Germany,Western Europe,Springer Verlag,2005-2020,Information Systems (Q2)
464,130124,Sensors,journal,"14243210, 14248220","0,636",Q2,172,7430,13140,343397,59728,13080,4.35,46.22,Switzerland,Western Europe,MDPI Multidisciplinary Digital Publishing Institute,2001-2020,"Analytical Chemistry (Q2); Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2); Instrumentation (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3)"
465,15703,Knowledge and Information Systems,journal,"02191377, 02193116","0,634",Q1,76,162,407,8042,1752,404,3.75,49.64,United Kingdom,Western Europe,Springer London,2005-2020,Hardware and Architecture (Q1); Artificial Intelligence (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Software (Q2)
466,21100899438,Communication Research and Practice,journal,22063374,"0,633",Q1,5,25,58,1084,88,48,1.52,43.36,United Kingdom,Western Europe,Taylor and Francis Ltd.,2018-2020,Communication (Q1); Computer Networks and Communications (Q1); Political Science and International Relations (Q1); Human-Computer Interaction (Q2); Marketing (Q2)
467,12373,Journal of Computer Information Systems,journal,8874417,"0,632",Q1,63,103,145,5879,492,144,3.41,57.08,United Kingdom,Western Europe,Taylor and Francis Ltd.,1995-2020,Computer Networks and Communications (Q1); Education (Q2); Information Systems (Q2)
468,24306,Digital Signal Processing: A Review Journal,journal,"10954333, 10512004","0,631",Q1,76,194,593,8386,2366,587,4.24,43.23,United States,Northern America,Elsevier Inc.,1991-2020,"Computer Vision and Pattern Recognition (Q1); Applied Mathematics (Q2); Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Statistics, Probability and Uncertainty (Q2)"
469,24360,Journal of Intelligent and Robotic Systems: Theory and Applications,journal,"15730409, 09210296","0,631",Q2,77,253,547,9478,1990,507,3.28,37.46,Netherlands,Western Europe,Springer Netherlands,1988-2020,Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Software (Q2)
470,18159,Computers and Electrical Engineering,journal,457906,"0,630",Q1,64,298,1040,7464,4626,979,4.79,25.05,United Kingdom,Western Europe,Elsevier Ltd.,"1973-1984, 1986-2020",Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)
471,15026,Flow Measurement and Instrumentation,journal,9555986,"0,630",Q2,57,126,384,3571,947,380,2.43,28.34,United Kingdom,Western Europe,Elsevier BV,1989-2020,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2)
472,19294,Journal of Scheduling,journal,10946136,"0,630",Q2,61,54,136,1762,313,130,2.35,32.63,United States,Northern America,Springer New York,1998-2020,Engineering (miscellaneous) (Q1); Artificial Intelligence (Q2); Management Science and Operations Research (Q2); Software (Q2)
473,21100936125,International Journal of Applied Engineering Research (Netherlands),journal,26662795,"0,628",Q1,5,10,10,621,81,10,8.1,62.1,Netherlands,Western Europe,,2019,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1)
474,21100205111,Computational Methods and Function Theory,journal,16179447,"0,627",Q2,16,58,123,1180,177,121,1.18,20.34,Germany,Western Europe,Springer Verlag,2011-2020,Analysis (Q2); Applied Mathematics (Q2); Computational Theory and Mathematics (Q2)
475,13681,Computer Communications,journal,1403664,"0,627",Q1,105,616,599,24961,2424,591,4.08,40.52,Netherlands,Western Europe,Elsevier,1978-2020,Computer Networks and Communications (Q1)
476,28554,Soft Computing,journal,"14327643, 14337479","0,626",Q2,81,1243,2036,52629,7893,2002,3.86,42.34,Germany,Western Europe,Springer Verlag,"2000, 2003-2020",Geometry and Topology (Q2); Software (Q2); Theoretical Computer Science (Q2)
477,21100917113,Internet Histories,journal,"24701483, 24701475","0,625",Q1,7,33,64,1751,86,57,1.33,53.06,United Kingdom,Western Europe,Taylor and Francis Ltd.,2017-2020,Computer Science (miscellaneous) (Q1); History (Q1)
478,24175,Constraints,journal,"15729354, 13837133","0,624",Q2,46,14,53,479,158,47,3.87,34.21,Netherlands,Western Europe,Springer Netherlands,1996-2020,Artificial Intelligence (Q2); Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Software (Q2)
479,15386,Online Information Review,journal,"14684527, 14684535","0,624",Q2,58,81,234,4944,693,231,2.56,61.04,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1980-2020,Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)
480,5000154609,Foundations and Trends in Web Science,journal,"15550788, 1555077X","0,622",Q1,8,1,1,193,2,1,0,193,United States,Northern America,Now Publishers Inc,"2006, 2010-2012, 2014, 2016-2017",Computer Networks and Communications (Q1)
481,16319,IEEE Transactions on Nanobioscience,journal,"15361241, 15582639","0,620",Q2,63,75,242,2866,949,230,3.69,38.21,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2002-2020,Bioengineering (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Medicine (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2); Pharmaceutical Science (Q2)
482,12795,Perception,journal,"14684233, 03010066","0,619",Q2,91,87,260,3773,370,242,1.19,43.37,United States,Northern America,SAGE Publications Inc.,1972-2020,Artificial Intelligence (Q2); Ophthalmology (Q2); Experimental and Cognitive Psychology (Q3); Sensory Systems (Q3)
483,19700200806,American Journal of Distance Education,journal,"08923647, 15389286","0,618",Q2,17,31,75,1159,122,60,1.29,37.39,United States,Northern America,Taylor and Francis Ltd.,"1987-1996, 1998-1999, 2001, 2008-2020",Computer Science Applications (Q2); Education (Q2)
484,5100155078,Foundations and Trends in Computer Graphics and Vision,journal,15722740,"0,618",Q1,25,1,3,811,16,3,5.33,811,United States,Northern America,Now Publishers Inc,"2005-2007, 2009-2016, 2018-2019",Computer Vision and Pattern Recognition (Q1)
485,15442,Information Systems Management,journal,10580530,"0,617",Q2,58,50,82,2089,216,67,1.96,41.78,United Kingdom,Western Europe,Taylor and Francis Ltd.,1992-2020,Library and Information Sciences (Q1); Computer Science Applications (Q2); Information Systems (Q2)
486,21100389724,Journal of King Saud University - Computer and Information Sciences,journal,"22131248, 13191578","0,617",Q1,33,314,341,12519,1739,267,4.89,39.87,Saudi Arabia,Middle East,King Saud University,2014-2020,Computer Science (miscellaneous) (Q1)
487,21100970248,CAAI Transactions on Intelligence Technology,journal,"24686557, 24682322","0,613",Q1,15,40,79,1545,396,74,6.05,38.63,United Kingdom,Western Europe,Institution of Engineering and Technology,2017-2020,Computer Networks and Communications (Q1); Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2); Human-Computer Interaction (Q2); Information Systems (Q2)
488,21100869486,Computational Visual Media,journal,"20960662, 20960433","0,612",Q1,15,36,94,1773,323,91,3.85,49.25,China,Asiatic Region,Tsinghua University Press,2015-2020,Computer Graphics and Computer-Aided Design (Q1); Artificial Intelligence (Q2); Computer Vision and Pattern Recognition (Q2)
489,21100984159,IET Smart Grid,journal,25152947,"0,612",Q2,11,96,89,3800,340,87,3.82,39.58,United Kingdom,Western Europe,Institution of Engineering and Technology,2018-2020,Computer Networks and Communications (Q2); Electrical and Electronic Engineering (Q2); Information Systems (Q2)
490,19700201529,IPSJ Transactions on Computer Vision and Applications,journal,18826695,"0,612",Q2,17,4,41,231,245,41,4.35,57.75,Japan,Asiatic Region,Information Processing Society of Japan,2009-2020,Computer Vision and Pattern Recognition (Q2)
491,800147111,Journal of Grid Computing,journal,15707873,"0,611",Q1,53,47,109,2496,438,103,3.91,53.11,Netherlands,Western Europe,Springer Netherlands,2003-2020,Hardware and Architecture (Q1); Computer Networks and Communications (Q2); Information Systems (Q2); Software (Q2)
492,21100332403,Journal of Information Security and Applications,journal,"22142126, 22142134","0,610",Q2,40,183,297,8559,1526,292,5.43,46.77,United Kingdom,Western Europe,Elsevier Ltd.,2013-2020,"Computer Networks and Communications (Q2); Safety, Risk, Reliability and Quality (Q2); Software (Q2)"
493,18650,Empirical Software Engineering,journal,"13823256, 15737616","0,609",Q2,75,138,303,9068,1778,281,5.42,65.71,Netherlands,Western Europe,Springer Netherlands,1996-2020,Software (Q2)
494,4800154012,Journal of Communications and Networks,journal,12292370,"0,609",Q2,46,35,166,1160,689,160,5.14,33.14,South Korea,Asiatic Region,Korean Institute of Communication Sciences,1999-2020,Computer Networks and Communications (Q2); Information Systems (Q2)
495,17953,Biological Cybernetics,journal,"14320770, 03401200","0,608",Q1,95,39,102,2219,248,97,2.88,56.9,Germany,Western Europe,Springer Verlag,1961-2020,Computer Science (miscellaneous) (Q1); Biotechnology (Q2)
496,18732,Information and Software Technology,journal,9505849,"0,606",Q2,103,121,420,6853,2316,403,5.12,56.64,Netherlands,Western Europe,Elsevier,"1970, 1987-2020",Computer Science Applications (Q2); Information Systems (Q2); Software (Q2)
